datetime,open,high,low,close,vol
2015-01-05 10:00:19.000000,74540,74820,74520,74820,102
2015-01-05 10:00:20.000000,74820,74960,74620,74620,14
2015-01-05 10:00:20.001000,74620,74870,74570,74570,100
2015-01-05 10:00:24.000000,74570,74660,74360,74360,1326
2015-01-05 10:00:43.000000,74360,74620,74320,74620,500
2015-01-05 10:00:58.000000,74620,74730,74430,74430,268
2015-01-05 10:01:00.000000,74430,74610,74310,74310,222
2015-01-05 10:01:00.001000,74310,74410,74110,74110,440
2015-01-05 10:01:07.000000,74110,74240,73940,73940,1597
2015-01-05 10:01:43.000000,73940,73950,73650,73650,409
2015-01-05 10:01:48.000000,73650,73740,73440,73440,768
2015-01-05 10:02:00.000000,73440,73520,73220,73220,1520
2015-01-05 10:02:17.000000,73220,73500,73200,73500,1605
2015-01-05 10:03:10.000000,73500,73740,73440,73740,1579
2015-01-05 10:03:18.000000,73740,73940,73620,73940,54
2015-01-05 10:03:18.001000,73940,74110,73810,74110,933
2015-01-05 10:03:51.000000,74110,74110,73800,73800,416
2015-01-05 10:03:58.000000,73800,73830,73530,73530,221
2015-01-05 10:03:59.000000,73530,73780,73430,73780,223
2015-01-05 10:03:59.001000,73780,73840,73540,73840,766
2015-01-05 10:04:20.000000,73840,74080,73770,74080,1624
2015-01-05 10:05:18.000000,74080,74340,74040,74340,453
2015-01-05 10:05:32.000000,74340,74500,74190,74190,204
2015-01-05 10:05:39.000000,74190,74370,74070,74370,330
2015-01-05 10:05:52.000000,74370,74460,74160,74460,721
2015-01-05 10:06:08.000000,74460,74570,74270,74270,666
2015-01-05 10:06:36.000000,74270,74330,74030,74030,322
2015-01-05 10:07:12.000000,74030,74080,73780,73780,941
2015-01-05 10:07:42.000000,73780,73960,73660,73960,474
2015-01-05 10:07:57.000000,73960,74120,73810,74120,626
2015-01-05 10:08:15.000000,74120,74380,74080,74380,528
2015-01-05 10:08:45.000000,74380,74500,74200,74500,834
2015-01-05 10:09:55.000000,74500,74720,74420,74420,1060
2015-01-05 10:10:34.000000,74420,74680,74380,74680,219
2015-01-05 10:10:59.000000,74680,74690,74390,74390,507
2015-01-05 10:11:56.000000,74390,74600,74300,74300,751
2015-01-05 10:13:27.000000,74300,74300,74000,74000,1020
2015-01-05 10:14:16.000000,74000,74160,73860,73860,1054
2015-01-05 10:14:34.000000,73860,74060,73760,73760,264
